id,url,verified
1,http://www.zasdf.xyz/,1
2,http://www.yahbti.com/,1
3,http://www.oneloginfffflloo.top/,1
4,http://www.codaung14ajmlpjv.subdokhusus.cfd/,1
5,http://www.burninggold.net/great/,1
6,http://whatss.net/index.html,1
7,http://uspw.usspaqr.top/	,1
8,http://uspt.usspawq.top/,1
9,http://uspt.usspaev.top/	,1
10,http://uspe.usspaiz.top/,1
11,http://titikakavn.tikatons.top/,1
12,http://telegraz.icu/,1
13,http://telegraz.club/,1
14,http://telegrau.work/,1
15,http://telegram.1-0-5.ch/,1
16,http://telegrae.fit/	,1
17,https://yogita725.github.io/Netflix-clone/	,1
18,https://web.teleqram.at/?code=51b51330e021fa3c20afd66f70b77e44	,1
19,https://walletconnect.app-net.top/restore/explore/sync.html,1
20,https://verify.protect-captcha.xyz/,1
21,https://vbt-104308.square.site/,1
22,https://uspw.usspawk.top/,1
23,https://uspe.usspauh.top/,1
24,https://uspd.usspaul.top/,1
25,https://usjdhg.terbaiik.com/,1
26,https://turquoise426489.studio.site/,1
27,https://tonboxbot.world/,1
28,https://today-currently-03-18-24.weeblysite.com/	,1
29,https://thebraudalf.github.io/Netflix_Clone,1
30,https://signals-telgram.com/     ,1
31,https://shaikshabana12.github.io/netflixwebsite.github.io	,1
32,https://secure.wuerth-intranet.com/oqq0ldlw225avk22	85.10.237.218,1
33,https://review-new-profile-issue.github.io/tn,1
34,https://returncapital.my.id/,1
35,https://relate-un-published.github.io/and-deleted/unpublish/,1
36,https://recibirtrasfiyabancolombia211214.brizy.site/,1
37,https://qtome.com/wp-content/ball/att.html,1
38,https://pub-7d7a2e6f57ef495d9d26a4c0bbdac0df.r2.dev/qSDFGFGSDF.html,1
39,https://pub-2e0bae6afbef42ce8714462fe1d4a4c0.r2.dev/btop.html#3mail@b.c,1
40,https://pub-19cbbdf238674df498b831b642ba49d8.r2.dev/buvo.html#3mail@b.c,1
41,https://pro-coibeseloggi.gitbook.io/,1
42,https://papy.pages.dev/?country.x=US&locale.x=en_US&langTgl=en,1
43,https://opnito.github.io/site,1
44,https://openseaproclaims.vercel.app/,1
45,https://online_srevice-alexdamayok569043.codeanyapp.com/ing/access/idei/hakona/78e30/,1
46,https://nsieje4.terbaiik.com/,1
47,https://njdjs9.terbaiik.com/,1
48,https://n5qk2.shop/,1
49,https://mysteryobox.vercel.app/,1
50,https://mysterybox9719.vercel.app/,1
